ESTU_GENERO;ESTU_AREARESIDE;ESTU_VALORMATRICULAUNIVERSIDAD;ESTU_PAGOMATRICULABECA;ESTU_PAGOMATRICULACREDITO;ESTU_PAGOMATRICULAPADRES;ESTU_PAGOMATRICULAPROPIO;ESTU_COMOCAPACITOEXAMENSB11;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_VIVIENDA;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;ESTU_HORASSEMANATRABAJA;ESTU_PRGM_ACADEMICO;MOD_RAZONA_CUANTITAT_PUNT;MOD_LECTURA_CRITICA_PUNT;MOD_COMPETEN_CIUDADA_PUNT;MOD_COMUNI_ESCRITA_PUNT;PUNT_GLOBAL;MOD_INGLES_PUNT
F;Area Rural;No paga matricula;No;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Primaria incompleta;1;Si;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construccion;Trabaja como personal de limpieza, mantenimiento, seguridad o construccion;0;ECONOMIA;169;172;164;124;157;156
F;Cabecera Municipal;No paga matricula;Si;Si;Si;No;Repasa por cuenta propia;Primaria completa;;;;;;;;COMERCIO INTERNACIONAL;160;141;105;164;139;125
F;Cabecera Municipal;No paga matricula;Si;Si;No;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Primaria incompleta;1;No;Si;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;Menos de 10 horas;GEOGRAFIA APLICADA A LA ORGANIZACION DEL ESPACIO Y PLANIFICACION REGIONAL;128;146;142;151;150;183
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Secundaria (Bachillerato) completa;1;No;No;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Mas de 30 horas;LICENCIATURA EN LENGUA CASTELLANA Y LITERATURA;171;157;180;146;158;135
M;Cabecera Municipal;No paga matricula;No;No;No;No;Repasa por cuenta propia;Primaria incompleta;Secundaria (Bachillerato) completa;2;Si;Si;Es operario de maquinas o conduce vehiculos (taxita, chofer);Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;ARQUITECTURA;158;133;131;138;144;161
M;Area Rural;No paga matricula;No;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Primaria completa;1;Si;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;0;ECONOMIA;143;136;106;127;126;118
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;Primaria incompleta;Tecnica o tecnologica completa;1;Si;No;Es agricultor, pesquero o jornalero;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Menos de 10 horas;INGENIERIA AGROFORESTAL;122;146;118;146;132;127
F;Area Rural;No paga matricula;No;No;Si;No;Repasa por cuenta propia;Primaria completa;Primaria completa; ;Si;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;0;INGENIERIA AGROFORESTAL;190;154;169;184;171;157
F;Cabecera Municipal;No paga matricula;Si;No;No;No;Repasa por cuenta propia;Ninguno;Secundaria (Bachillerato) completa;1;No;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construccion;Es vendedor o trabaja en atencion al publico;0;LICENCIATURA EN LENGUA CASTELLANA Y LITERATURA;158;186;171;174;168;150
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Ninguno;Tecnica o tecnologica incompleta;1;Si;Si;Ninguno;Trabaja por cuenta propia (por ejemplo plomero, electricista);0;INGENIERIA DE SISTEMAS;156;145;130;157;150;164
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;1;No;Si;Pensionado;Trabaja en el hogar, no trabaja o estudia;Mas de 30 horas;MEDICINA VETERINARIA;169;163;149;167;156;134
F;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;No realiza ninguna prueba de preparacion;Primaria incompleta;Primaria incompleta;1;No;No;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico;Menos de 10 horas;LICENCIATURA EN LENGUA CASTELLANA Y LITERATURA;113;108;87;100;104;113
F;Cabecera Municipal;No paga matricula;No;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Secundaria (Bachillerato) incompleta;1;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;0;INGENIERIA AGROINDUSTRIAL;147;176;155;126;151;152
M;Cabecera Municipal;Menos de 500 mil;No;Si;No;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Tecnica o tecnologica completa;1;Si;Si;;;Entre 11 y 20 horas;LICENCIATURA EN ESPA袿L E INGLES;98;161;86;167;136;170
M;Area Rural;No paga matricula;No;No;Si;Si;Repasa por cuenta propia;Secundaria (Bachillerato) incompleta;Primaria incompleta;1;Si;;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;Entre 21 y 30 horas;MEDICINA VETERINARIA;164;167;168;156;155;122
F;Cabecera Municipal;Menos de 500 mil;No;Si;No;Si;Repasa por cuenta propia;Ninguno;Primaria incompleta;1;Si;Si;;Es agricultor, pesquero o jornalero;Entre 11 y 20 horas;SOCIOLOGIA;134;81;191;132;136;144
F;Area Rural;No paga matricula;No;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Primaria incompleta;1;Si;Si;Ninguno;Es agricultor, pesquero o jornalero;Menos de 10 horas;GEOGRAFIA APLICADA A LA ORGANIZACION DEL ESPACIO Y PLANIFICACION REGIONAL;117;184;136;137;141;129
M;Cabecera Municipal;No paga matricula;Si;No;No;No;Repasa por cuenta propia;Educacion profesional completa;Educacion profesional completa;2;Si;Si;Es due駉 de un negocio grande, tiene un cargo de nivel directivo o gerencial;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;INGENIERIA DE SISTEMAS;128;109;100;102;111;117
M;Cabecera Municipal;Menos de 500 mil;No;Si;No;No;Repasa por cuenta propia;Postgrado;Primaria incompleta;1;Si;Si;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Trabaja en el hogar, no trabaja o estudia;0;INGENIERIA ELECTRONICA;198;156;155;181;168;152
M;Cabecera Municipal;No paga matricula;No;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;2;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;LICENCIATURA EN INFORMATICA;176;152;130;121;145;146
M;Area Rural;Menos de 500 mil;No;No;No;Si;Repasa por cuenta propia;Primaria incompleta;Primaria completa;2;No;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;MERCADEO;156;140;143;124;142;146
M;Area Rural;Menos de 500 mil;Si;Si;Si;Si;Repasa por cuenta propia;Primaria completa;Primaria completa;;;Si;Trabaja en el hogar, no trabaja o estudia;;0;INGENIERIA CIVIL;194;161;135;150;160;158
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Tecnica o tecnologica completa;Primaria completa;1;Si;Si;;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;INGENIERIA AGROFORESTAL;145;172;153;136;154;166
M;Cabecera Municipal;No paga matricula;Si;Si;No;No;Repasa por cuenta propia;Primaria incompleta;Secundaria (Bachillerato) incompleta;1;Si;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;INGENIERIA CIVIL;191;178;172;131;169;172
M;Cabecera Municipal;No paga matricula;Si;Si;No;Si;Repasa por cuenta propia;Ninguno;Primaria completa;1;Si;Si;Ninguno;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Entre 11 y 20 horas;ECONOMIA;155;141;105;180;149;163
M;Area Rural;Menos de 500 mil;No;Si;Si;Si;Repasa por cuenta propia;Educacion profesional completa;Secundaria (Bachillerato) completa;1;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;FISICA;194;180;158;130;170;189
M;Area Rural;No paga matricula;No;No;No;Si;No realiza ninguna prueba de preparacion;Primaria completa;Secundaria (Bachillerato) incompleta;2;No;No;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;DERECHO;167;184;180;183;175;161
M;Cabecera Municipal;No paga matricula;Si;No;Si;No;No realiza ninguna prueba de preparacion;Educacion profesional completa;Primaria incompleta;2;Si;Si;Ninguno;Trabaja como personal de limpieza, mantenimiento, seguridad o construcci贸n;Menos de 10 horas;COMERCIO INTERNACIONAL;157;165;180;81;149;164
M;Area Rural;No paga matricula;No;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;No;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;INGENIERIA CIVIL;168;139;161;97;139;131
M;Area Rural;No paga matricula;No;No;No;Si;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;2;Si;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;INGENIERIA AGROFORESTAL;140;151;121;167;136;100
M;Cabecera Municipal;Menos de 500 mil;Si;No;Si;Si;Repasa por cuenta propia;Ninguno;Primaria completa;1;Si;Si;Ninguno;Es agricultor, pesquero o jornalero;Entre 21 y 30 horas;INGENIERIA DE SISTEMAS;198;200;185;161;180;154
M;Cabecera Municipal;Menos de 500 mil;Si;No;Si;No;Repasa por cuenta propia;Primaria completa;Primaria incompleta;1;No;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Menos de 10 horas;INGENIERIA AMBIENTAL;184;140;107;170;145;123
M;Cabecera Municipal;No paga matricula;No;No;Si;Si;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Educacion profesional incompleta;1;Si;Si;Es operario de maquinas o conduce vehiculos (taxita, chofer);;0;ADMINISTRACION DE EMPRESAS;174;140;164;106;150;164
M;Area Rural;Menos de 500 mil;No;No;Si;No;No realiza ninguna prueba de preparacion;Secundaria (Bachillerato) incompleta;Primaria incompleta;1;Si;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Mas de 30 horas;INGENIERIA AGROINDUSTRIAL;210;173;197;109;171;168
M;Cabecera Municipal;No paga matricula;Si;No;No;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Primaria completa;2;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Trabaja en el hogar, no trabaja o estudia;Mas de 30 horas;ARQUITECTURA;165;157;178;162;165;162
M;Cabecera Municipal;Menos de 500 mil;Si;No;No;Si;Repasa por cuenta propia;Secundaria (Bachillerato) incompleta;Primaria incompleta;2;Si;Si;;Trabaja en el hogar, no trabaja o estudia;0;LICENCIATURA EN MUSICA;171;145;133;122;147;166
M;Area Rural;No paga matricula;No;No;Si;Si;No realiza ninguna prueba de preparacion;Ninguno;Ninguno;1;No;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Mas de 30 horas;BIOLOGIA;152;164;173;140;155;145
M;Cabecera Municipal;Menos de 500 mil;No;Si;Si;No;No realiza ninguna prueba de preparacion;Educacion profesional completa;Secundaria (Bachillerato) completa;3;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;COMERCIO INTERNACIONAL;152;163;145;162;160;180
F;Cabecera Municipal;Menos de 500 mil;Si;No;No;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Primaria completa;1;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;0;ADMINISTRACION DE EMPRESAS;164;172;171;111;158;172
M;Area Rural;Menos de 500 mil;No;No;Si;No;No realiza ninguna prueba de preparacion;Primaria incompleta;Primaria incompleta;1;Si;Si;;Trabaja como personal de limpieza, mantenimiento, seguridad o construcci贸n;Entre 11 y 20 horas;PSICOLOGIA;106;156;175;122;150;190
M;Cabecera Municipal;Menos de 500 mil;Si;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) incompleta;Primaria incompleta;1;Si;Si;Es operario de maquinas o conduce vehiculos (taxita, chofer);Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;COMERCIO INTERNACIONAL;151;141;141;73;130;142
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;No realiza ninguna prueba de preparacion;Ninguno;Secundaria (Bachillerato) incompleta;2;Si;No;;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;DISE袿 INDUSTRIAL;161;152;166;157;159;157
M;Area Rural;No paga matricula;No;No;Si;Si;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;1;No;Si;Es agricultor, pesquero o jornalero;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Entre 11 y 20 horas;INGENIERIA AGROFORESTAL;166;153;126;151;145;127
F;Cabecera Municipal;Menos de 500 mil;Si;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Primaria completa;1;Si;No;Es agricultor, pesquero o jornalero;Trabaja como personal de limpieza, mantenimiento, seguridad o construcci贸n;Menos de 10 horas;SOCIOLOGIA;147;124;125;121;133;146
F;Area Rural;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;No;No;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;ADMINISTRACION DE EMPRESAS;143;174;121;175;151;144
M;Cabecera Municipal;No paga matricula;No;No;Si;No;No realiza ninguna prueba de preparacion;Primaria completa;Primaria completa;1;Si;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;ADMINISTRACION DE EMPRESAS;154;174;152;157;156;142
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Secundaria (Bachillerato) incompleta;1;Si;No;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;INGENIERIA AGROFORESTAL;107;103;103;125;113;126
F;Area Rural;No paga matricula;Si;No;No;No;Repasa por cuenta propia;Ninguno;Primaria completa;1;Si;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;PSICOLOGIA;138;144;129;126;132;121
F;Cabecera Municipal;No paga matricula;No;No;No;No;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;Si;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;LICENCIATURA EN FILOSOFIA Y LETRAS;120;135;160;149;140;136
F;Cabecera Municipal;No paga matricula;No;No;Si;Si;Repasa por cuenta propia;Primaria incompleta;Primaria completa;1;Si;;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;ECONOMIA;139;183;145;77;134;127
F;Cabecera Municipal;No paga matricula;No;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;2;Si;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;0;INGENIERIA AGROFORESTAL;158;147;146;127;149;166
F;Cabecera Municipal;No paga matricula;Si;No;No;Si;No realiza ninguna prueba de preparacion;Ninguno;Primaria incompleta;1;Si;Si;Es operario de maquinas o conduce vehiculos (taxita, chofer);Trabaja en el hogar, no trabaja o estudia;Mas de 30 horas;PSICOLOGIA;182;172;160;143;159;138
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;2;Si;;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;LICENCIATURA EN FILOSOFIA Y LETRAS;111;133;160;75;124;139
F;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;Repasa por cuenta propia;Primaria incompleta;Secundaria (Bachillerato) completa;2;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Es vendedor o trabaja en atencion al publico;Mas de 30 horas;LICENCIATURA EN LENGUA CASTELLANA Y LITERATURA;140;137;130;136;134;127
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Secundaria (Bachillerato) incompleta;2;Si;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Entre 11 y 20 horas;ADMINISTRACION DE EMPRESAS;141;150;150;159;151;157
F;Cabecera Municipal;No paga matricula;No;No;No;Si;Repasa por cuenta propia;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;2;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Menos de 10 horas;MERCADEO;80;116;125;79;105;126
F;Area Rural;No paga matricula;No;No;No;No;Repasa por cuenta propia;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;2;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja como personal de limpieza, mantenimiento, seguridad o construcci贸n;Entre 21 y 30 horas;INGENIERIA ELECTRONICA;169;172;166;141;164;170
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;Si;;Es operario de maquinas o conduce vehiculos (taxita, chofer);Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;;ADMINISTRACION DE EMPRESAS;121;133;88;137;120;120
M;Cabecera Municipal;No paga matricula;No;No;No;No;Repasa por cuenta propia;Ninguno;Secundaria (Bachillerato) incompleta;2;Si;Si;Pensionado;Trabaja como personal de limpieza, mantenimiento, seguridad o construcci贸n;Entre 11 y 20 horas;BIOLOGIA;208;176;202;152;178;152
F;Area Rural;Menos de 500 mil;Si;No;Si;Si;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;2;No;No;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;LICENCIATURA EN LENGUA CASTELLANA Y LITERATURA;131;161;133;126;133;112
F;Cabecera Municipal;No paga matricula;No;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Tecnica o tecnologica incompleta;2;Si;Si;Es operario de maquinas o conduce vehiculos (taxita, chofer);Trabaja por cuenta propia (por ejemplo plomero, electricista);Menos de 10 horas;MEDICINA VETERINARIA;151;171;178;129;158;159
M;Cabecera Municipal;Menos de 500 mil;Si;No;No;Si;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;2;Si;Si;;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;GEOGRAFIA APLICADA A LA ORGANIZACION DEL ESPACIO Y PLANIFICACION REGIONAL;116;165;171;92;141;162
F;Cabecera Municipal;No paga matricula;Si;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;Si;No;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;LICENCIATURA EN MATEMATICAS;193;163;138;160;157;133
M;Cabecera Municipal;No paga matricula;No;No;Si;No;Repasa por cuenta propia;Primaria completa;Primaria completa;1;Si;;Es agricultor, pesquero o jornalero;;Menos de 10 horas;INGENIERIA CIVIL;164;122;124;118;131;126
M;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;Repasa por cuenta propia;Tecnica o tecnologica completa;Tecnica o tecnologica completa;2;Si;Si;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico;Mas de 30 horas;MEDICINA VETERINARIA;150;157;164;132;159;192
M;Area Rural;No paga matricula;Si;Si;Si;Si;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;No;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Entre 11 y 20 horas;ARTES VISUALES;111;114;165;109;126;129
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Postgrado;Secundaria (Bachillerato) incompleta;2;Si;Si;Ninguno;Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;ADMINISTRACION DE EMPRESAS;162;181;157;154;165;172
M;Area Rural;Menos de 500 mil;No;No;Si;Si;No realiza ninguna prueba de preparacion;Educacion profesional incompleta;Primaria completa;1;Si;Si;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;0;ADMINISTRACION DE EMPRESAS;167;145;168;127;150;142
M;Cabecera Municipal;Menos de 500 mil;No;Si;No;No;Repasa por cuenta propia;Primaria incompleta;Secundaria (Bachillerato) completa;2;Si;Si;Ninguno;Trabaja en el hogar, no trabaja o estudia;Mas de 30 horas;DISE袿 GRAFICO Y MULTIMEDIAL;147;157;164;131;146;133
M;Area Rural;No paga matricula;No;Si;Si;No;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;Mas de 30 horas;INGENIERIA AGROINDUSTRIAL;177;126;144;152;153;165
F;Cabecera Municipal;Menos de 500 mil;Si;Si;Si;Si;No realiza ninguna prueba de preparacion;;;;;;;;;INGENIERIA AGROFORESTAL;95;132;100;164;122;118
M;Cabecera Municipal;No paga matricula;Si;No;No;No;Repasa por cuenta propia;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;;;;;;Entre 11 y 20 horas;ECONOMIA;107;84;104;0;84;127
M;Cabecera Municipal;No paga matricula;No;No;Si;No;Repasa por cuenta propia;Primaria incompleta;No sabe;2;Si;Si;Es agricultor, pesquero o jornalero;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Entre 11 y 20 horas;INGENIERIA AGROINDUSTRIAL;193;172;191;120;169;168
F;Area Rural;No paga matricula;Si;No;Si;No;Repasa por cuenta propia;Ninguno;Ninguno;1;No;No;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;COMERCIO INTERNACIONAL;119;165;154;124;143;154
F;Cabecera Municipal;No paga matricula;Si;No;Si;No;Repasa por cuenta propia;Primaria completa;Primaria completa;2;Si;Si;;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;ADMINISTRACION DE EMPRESAS;156;153;114;135;137;128
M;Cabecera Municipal;No paga matricula;Si;No;No;Si;Repasa por cuenta propia;Primaria completa;Secundaria (Bachillerato) completa;1;Si;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;ADMINISTRACION DE EMPRESAS;154;148;162;177;160;160
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Tecnica o tecnologica incompleta;Secundaria (Bachillerato) incompleta;2;Si;Si;Trabaja en el hogar, no trabaja o estudia;;Entre 21 y 30 horas;DERECHO;168;173;173;300;195;159
F;Cabecera Municipal;Entre 500 mil y menos de 1 millon;No;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Educacion profesional completa;2;Si;Si;;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Menos de 10 horas;ECONOMIA;186;162;92;166;148;136
F;Cabecera Municipal;Menos de 500 mil;No;Si;Si;No;Repasa por cuenta propia;Primaria incompleta;Tecnica o tecnologica incompleta;1;No;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Menos de 10 horas;INGENIERIA AMBIENTAL;145;113;98;0;102;155
F;Cabecera Municipal;Menos de 500 mil;No;Si;Si;No;Repasa por cuenta propia;Tecnica o tecnologica completa;Secundaria (Bachillerato) completa;2;Si;;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;0;QUIMICA;162;107;96;119;123;133
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Toma un curso de preparacion;Tecnica o tecnologica completa;Educacion profesional completa;1;Si;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;INGENIERIA DE SISTEMAS;125;124;156;116;129;126
F;Cabecera Municipal;No paga matricula;Si;No;No;No;No realiza ninguna prueba de preparacion;Educacion profesional completa;Tecnica o tecnologica completa;2;Si;;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Menos de 10 horas;ADMINISTRACION DE EMPRESAS;143;161;141;97;136;138
M;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;Repasa por cuenta propia;Ninguno;Tecnica o tecnologica incompleta;2;Si;Si;Ninguno;Trabaja en el hogar, no trabaja o estudia;;LICENCIATURA EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL;155;159;174;170;161;148
F;Area Rural;No paga matricula;Si;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Tecnica o tecnologica incompleta;2;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Trabaja en el hogar, no trabaja o estudia;Mas de 30 horas;MERCADEO;163;169;155;110;147;139
F;Cabecera Municipal;No paga matricula;Si;No;No;No;Repasa por cuenta propia;Ninguno;Ninguno;2;Si;No;;;0;LICENCIATURA EN ESPA袿L E INGLES;128;155;168;140;154;178
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;;;;;;;;;INGENIERIA AMBIENTAL;197;190;181;133;169;144
M;Cabecera Municipal;Menos de 500 mil;Si;No;Si;Si;No realiza ninguna prueba de preparacion;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;1;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Es vendedor o trabaja en atencion al publico;Entre 21 y 30 horas;MERCADEO;162;169;142;152;160;177
F;Cabecera Municipal;Menos de 500 mil;Si;No;Si;Si;Repasa por cuenta propia;Tecnica o tecnologica completa;Tecnica o tecnologica completa;1;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;SOCIOLOGIA;82;85;100;135;103;112
F;Cabecera Municipal;No paga matricula;Si;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;1;Si;Si;;;0;LICENCIATURA EN ESPA袿L E INGLES;144;131;139;176;153;173
M;Area Rural;No paga matricula;No;No;Si;No;Toma un curso de preparacion;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;2;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Entre 21 y 30 horas;INGENIERIA DE SISTEMAS;207;173;170;131;174;187
