ESTU_GENERO;FAMI_VIVIENDA;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_NUMLIBROS;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONLECTURADIARIA;ESTU_DEDICACIONINTERNET;COLE_NATURALEZA;COLE_CALENDARIO;COLE_BILINGUE;COLE_AREA_UBICACION;COLE_JORNADA;PUNT_LECTURA_CRITICA;PUNT_MATEMATICAS;PUNT_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PUNT_INGLES;PUNT_GLOBAL
F;Sin Estrato;Ninguno;Tecnica o tecnoligica;Ninguno;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;UNICA;51;49;40;33;38;214
M;Estrato 1;Primaria;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Mejor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;UNICA;64;67;59;59;64;312
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Mejor;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;58;58;53;54;54;278
F;1;Bachillerato;Bachillerato;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;57;62;59;48;54;282
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;52;54;60;37;56;256
F;;;;Empleado;Empleado;;No;;Mejor;;;OFICIAL;A;N;RURAL;MAÑANA;38;49;49;38;50;220
F;Estrato 4;Primaria;profesional;Empleado;Empleado;No;No;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;;URBANO;MAÑANA;57;51;45;36;39;233
F;2;Primaria;Bachillerato;Empleado;Empleado;No;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;52;56;55;58;52;275
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;;RURAL;MAÑANA;50;50;45;39;55;233
M;2;Bachillerato;Primaria;Empleado;Empleado;No;No;26 A 100 LIBROS;Peor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;UNICA;45;49;46;45;55;235
M;;;;;;;;;;;;OFICIAL;A;N;URBANO;MAÑANA;54;49;43;38;42;228
M;;;;;;;;;;;;OFICIAL;A;;RURAL;MAÑANA;45;39;47;41;44;215
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;;RURAL;MAÑANA;58;52;50;50;56;264
F;Estrato 1;Ninguno;Primaria;Ninguno;Empleado;Si;No;0 A 10 LIBROS;Mejor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;42;36;43;35;47;198
F;Estrato 2;Primaria;Tecnica o tecnoligica;Empleado;Empleado;Si;No;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;66;67;67;62;55;323
F;Estrato 2;Bachillerato;Bachillerato;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;No leo por entretenimiento;Mas de 3 horas;NO OFICIAL;A;;RURAL;MAÑANA;46;43;35;40;28;200
F;1;Primaria;Ninguno;Empleado;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;46;34;40;28;50;190
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Peor;Entre 1 y 3 horas;No Navega Internet;OFICIAL;A;S;URBANO;MAÑANA;43;32;37;32;31;178
F;Estrato 1;Bachillerato;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Mas de 2 horas;Entre 1 y 3 horas;OFICIAL;A;;URBANO;MAÑANA;49;31;38;37;41;195
F;Estrato 1;Primaria;Tecnica o tecnoligica;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Mas de 3 horas;OFICIAL;A;N;URBANO;UNICA;67;61;64;69;55;322
F;Estrato 4;Ninguno;Bachillerato;Ninguno;Empleado;Si;No;0 A 10 LIBROS;Mejor;No leo por entretenimiento;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;38;29;45;29;42;179
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Mejor;Entre 30 y 60 minutos;Mas de 3 horas;OFICIAL;A;N;URBANO;MAÑANA;61;78;67;58;58;327
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;60;59;49;56;65;283
F;;;;;;;;;;;;OFICIAL;A;N;URBANO;MAÑANA;45;40;42;35;40;202
F;2;Primaria;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;No leo por entretenimiento;Mas de 3 horas;OFICIAL;A;N;RURAL;MAÑANA;49;58;52;37;46;244
F;Sin ;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Mejor;Entre 1 y 3 horas;Mas de 3 horas;OFICIAL;A;N;RURAL;MAÑANA;37;55;41;45;38;220
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;45;41;50;39;42;218
F;1;Primaria;Primaria;Ninguno;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;56;56;56;50;49;270
F;Estrato 1;Primaria;Bachillerato;Empleado;Empleado;Si;No;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;UNICA;70;57;61;60;64;311
F;Estrato 1;Ninguno;Primaria;Empleado;Empleado;No;Si;0 A 10 LIBROS;Igual;No leo por entretenimiento;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;58;59;55;56;51;283
F;1;Primaria;Bachillerato;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Peor;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;S;URBANO;TARDE;68;46;56;52;43;273
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;No;Si;0 A 10 LIBROS;Mejor;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;60;62;58;60;49;296
F;;;;Empleado;Empleado;;Si;;Igual;;;OFICIAL;A;N;URBANO;MAÑANA;33;36;43;37;41;188
F;Sin Estrato;Ninguno;Bachillerato;Empleado;Ninguno;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;No Navega Internet;OFICIAL;A;N;URBANO;TARDE;45;31;45;35;44;197
F;;;;Empleado;Empleado;;Si;;Igual;;;OFICIAL;A;N;URBANO;TARDE;39;45;42;38;44;206
F;Estrato 2;Ninguno;Primaria;Ninguno;Empleado;No;Si;0 A 10 LIBROS;Peor;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;60;65;62;67;61;317
F;Sin Estrato;Primaria;Primaria;Empleado;Empleado;No;No;11 A 25 LIBROS;Peor;No leo por entretenimiento;Entre 1 y 3 horas;OFICIAL;A;;RURAL;UNICA;37;36;33;34;35;175
F;Estrato 2;Primaria;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;;No leo por entretenimiento;Mas de 3 horas;OFICIAL;A;;RURAL;MAÑANA;40;38;30;28;32;169
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;42;35;43;41;44;203
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Peor;Mas de 2 horas;No Navega Internet;OFICIAL;A;N;RURAL;MAÑANA;45;34;36;38;40;192
F;;;;Empleado;Empleado;;No;;Peor;;;OFICIAL;A;N;URBANO;UNICA;50;51;46;43;50;238
F;Estrato 1;Bachillerato;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;52;55;53;45;51;256
F;Estrato 1;Ninguno;Primaria;Ninguno;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;No Navega Internet;OFICIAL;A;N;URBANO;TARDE;41;41;42;35;45;201
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;No;No;11 A 25 LIBROS;Mejor;Mas de 2 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;35;29;37;34;;169
F;Estrato 1;Primaria;Primaria;;;Si;;0 A 10 LIBROS;;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;47;58;47;51;50;253
F;Estrato 1;Primaria;Primaria;Ninguno;Empleado;Si;No;0 A 10 LIBROS;Peor;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;SABATINA;53;49;49;45;54;247
F;1;Primaria;Primaria;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Mejor;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;TARDE;50;61;55;51;60;273
F;Estrato 1;Bachillerato;Bachillerato;Ninguno;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Mas de 3 horas;OFICIAL;A;N;RURAL;MAÑANA;50;29;40;43;41;203
F;3;Ninguno;Ninguno;Pensionado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;No Navega Internet;OFICIAL;A;S;URBANO;MAÑANA;41;40;41;33;48;197
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;Si;No;11 A 25 LIBROS;Mejor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;S;URBANO;MAÑANA;47;44;39;30;38;199
F;Estrato 3;Primaria;Primaria;Empleado;Ninguno;Si;No;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;56;43;47;45;46;238
F;Sin Estrato;Bachillerato;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;No leo por entretenimiento;Mas de 3 horas;OFICIAL;A;S;URBANO;MAÑANA;35;36;40;39;43;190
F;Estrato 6;;;Empleado;Empleado;No;No;;Mejor;;;OFICIAL;A;N;URBANO;NOCHE;25;18;34;28;34;134
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;SABATINA;49;45;41;44;44;223
F;Estrato 2;Bachillerato;Primaria;;;Si;;26 A 100 LIBROS;;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;52;48;53;57;63;267
M;Estrato 3;Bachillerato;profesional;Empleado;Empleado;Si;No;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;;RURAL;MAÑANA;45;43;40;41;40;210
F;2;Bachillerato;Bachillerato;Empleado;Empleado;Si;No;11 A 25 LIBROS;Peor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;55;58;56;52;50;274
F;;;;Empleado;Empleado;;Si;;Igual;;;OFICIAL;A;;RURAL;MAÑANA;36;22;33;38;38;163
F;Estrato 2;profesional;profesional;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;48;53;55;52;44;257
M;Estrato 1;Primaria;Primaria;;;No;;;;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;TARDE;47;47;40;39;34;213
F;Sin Estrato;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;S;URBANO;MAÑANA;56;63;56;40;48;267
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Mejor;Entre 30 y 60 minutos;Mas de 3 horas;OFICIAL;A;N;URBANO;UNICA;49;44;54;47;48;242
F;Estrato 3;Ninguno;profesional;Ninguno;Empleado;Si;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;56;58;39;44;57;249
F;Estrato 3;Bachillerato;Primaria;Ninguno;Ninguno;Si;Si;11 A 25 LIBROS;Peor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;S;URBANO;MAÑANA;40;52;54;37;41;227
M;1;Bachillerato;Bachillerato;Empleado;Empleado;Si;No;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;67;68;70;62;67;334
F;3;Bachillerato;Ninguno;Empleado;Ninguno;Si;Si;0 A 10 LIBROS;Peor;Entre 1 y 3 horas;Entre 1 y 3 horas;NO OFICIAL;A;N;URBANO;MAÑANA;66;71;72;66;68;343
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;S;RURAL;MAÑANA;37;39;43;31;39;188
M;3;profesional;profesional;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;72;77;68;67;64;352
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Mejor;Entre 1 y 3 horas;Entre 1 y 3 horas;NO OFICIAL;A;;URBANO;SABATINA;34;29;41;29;43;170
F;Estrato 2;Primaria;Bachillerato;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Peor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;58;54;49;48;46;259
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;45;46;43;33;38;207
M;3;profesional;Bachillerato;Ninguno;Empleado;Si;Si;MAS DE 100 LIBROS;Peor;Entre 30 y 60 minutos;Entre 1 y 3 horas;NO OFICIAL;B;N;URBANO;SABATINA;35;40;36;35;50;188
F;Sin Estrato;Bachillerato;Bachillerato;Empleado;Ninguno;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;No Navega Internet;OFICIAL;A;;RURAL;MAÑANA;36;33;35;28;44;169
F;Estrato 2;Primaria;Primaria;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Peor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;UNICA;63;75;66;72;58;341
F;Estrato 2;Primaria;Primaria;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Mas de 3 horas;OFICIAL;A;N;URBANO;MAÑANA;48;47;45;45;42;230
F;1;Primaria;Tecnica o tecnoligica;Empleado;Ninguno;Si;Si;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;SABATINA;49;53;45;33;34;221
F;Estrato 2;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;No Navega Internet;OFICIAL;A;;URBANO;MAÑANA;42;36;39;44;32;198
F;Estrato 5;Ninguno;Bachillerato;Ninguno;Empleado;Si;No;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;42;40;34;40;47;198
F;Estrato 2;Primaria;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;55;54;56;50;45;265
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;26 A 100 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;53;58;58;63;55;289
F;Estrato 1;Primaria;Ninguno;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;61;51;51;56;57;275
F;Estrato 1;Primaria;Bachillerato;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;67;60;46;67;45;294
F;;Primaria;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Peor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;47;46;49;51;40;238
F;Estrato 1;Ninguno;Primaria;Ninguno;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;51;43;43;40;45;222
F;1;Primaria;Bachillerato;Empleado;Empleado;Si;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;57;55;55;60;56;283
F;Sin Estrato;Ninguno;Primaria;Empleado;Ninguno;No;No;;Igual;Mas de 2 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;NOCHE;34;32;26;28;37;153
F;Estrato 1;Bachillerato;Primaria;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;43;46;49;45;50;230
F;Estrato 1;Ninguno;Ninguno;Ninguno;Empleado;Si;No;0 A 10 LIBROS;Igual;No leo por entretenimiento;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;39;61;50;30;43;224
F;;;;Empleado;Empleado;;No;;Igual;;;OFICIAL;A;N;RURAL;MAÑANA;47;42;41;40;51;216
F;1;Ninguno;Primaria;Ninguno;Empleado;Si;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;NOCHE;52;52;47;45;42;242
F;Sin ;Primaria;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;60;47;57;57;47;273
F;Estrato 1;Primaria;Bachillerato;Ninguno;Ninguno;No;No;0 A 10 LIBROS;Igual;No leo por entretenimiento;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;44;43;43;48;45;223
F;;;;;;;;;;;;OFICIAL;A;N;URBANO;MAÑANA;45;56;54;50;41;252
F;Estrato 1;Primaria;Bachillerato;Empleado;Empleado;No;No;11 A 25 LIBROS;Peor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;;RURAL;UNICA;50;47;48;47;41;237
F;Estrato 1;Bachillerato;Primaria;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;51;52;62;56;48;273
F;Estrato 1;Primaria;Bachillerato;Empleado;Empleado;Si;No;11 A 25 LIBROS;Peor;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;53;53;56;50;59;267
F;1;Tecnica o tecnoligica;Bachillerato;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;69;66;61;70;67;333
F;Sin Estrato;Ninguno;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Peor;Mas de 2 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;42;30;36;43;34;187
F;Estrato 2;Primaria;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Mas de 3 horas;OFICIAL;A;N;URBANO;MAÑANA;51;62;53;42;45;257
F;Sin Estrato;Bachillerato;Bachillerato;Empleado;Ninguno;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;37;36;34;33;30;173
F;Estrato 4;Ninguno;Tecnica o tecnoligica;Ninguno;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Mas de 3 horas;OFICIAL;A;N;URBANO;TARDE;42;38;31;31;40;179
F;1;Ninguno;Bachillerato;Ninguno;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;S;URBANO;MAÑANA;51;53;47;43;44;241
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;No Navega Internet;OFICIAL;A;N;RURAL;MAÑANA;61;50;58;46;46;266
M;Estrato 2;profesional;Bachillerato;Ninguno;Ninguno;Si;No;0 A 10 LIBROS;Igual;No leo por entretenimiento;Entre 30 y 60 minutos;OFICIAL;A;S;URBANO;MAÑANA;42;48;45;40;40;217
F;Estrato 1;Tecnica o tecnoligica;profesional;Ninguno;Ninguno;Si;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;UNICA;55;48;50;57;49;261
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Mejor;Entre 1 y 3 horas;Mas de 3 horas;NO OFICIAL;A;;URBANO;SABATINA;33;33;33;35;33;167
M;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;37;55;48;40;39;223
M;Estrato 1;Ninguno;Ninguno;Empleado;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;S;URBANO;MAÑANA;48;44;43;48;54;232
F;1;Bachillerato;Bachillerato;Ninguno;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;NO OFICIAL;A;N;URBANO;MAÑANA;52;45;42;49;43;233
F;Estrato 1;Primaria;Ninguno;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;51;43;41;34;40;210
F;;;;Empleado;Empleado;;Si;;Mejor;;;OFICIAL;A;N;RURAL;MAÑANA;59;74;58;64;58;317
F;Estrato 4;Ninguno;Primaria;Ninguno;Empleado;No;No;0 A 10 LIBROS;Peor;No leo por entretenimiento;No Navega Internet;OFICIAL;A;N;RURAL;MAÑANA;51;42;36;40;33;208
M;2;Primaria;Bachillerato;;Empleado;Si;Si;11 A 25 LIBROS;;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;;URBANO;UNICA;44;49;45;46;51;232
M;Estrato 2;Bachillerato;Bachillerato;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;No leo por entretenimiento;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;UNICA;53;57;50;45;52;257
F;;;;Empleado;Empleado;;Si;;Igual;;;OFICIAL;A;N;URBANO;TARDE;61;67;57;63;53;307
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;Si;11 A 25 LIBROS;Peor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;UNICA;56;65;52;49;53;277
F;Estrato 1;Primaria;Ninguno;;;Si;;0 A 10 LIBROS;;Entre 1 y 3 horas;No Navega Internet;OFICIAL;A;N;RURAL;TARDE;41;29;37;38;41;183
F;;;;Ninguno;Empleado;;No;;;;;OFICIAL;A;N;URBANO;MAÑANA;48;42;38;31;35;197
M;;;;Ninguno;Empleado;;No;;Igual;;;NO OFICIAL;A;;URBANO;SABATINA;51;43;40;34;51;213
F;Estrato 2;Primaria;Primaria;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Peor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;49;47;53;43;55;243
M;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Peor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;UNICA;43;32;42;36;55;198
F;Estrato 2;Primaria;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;36;45;49;26;37;194
F;Estrato 2;Primaria;Primaria;Empleado;Empleado;Si;No;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;53;44;48;44;52;238
F;Estrato 3;Primaria;Primaria;Ninguno;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;50;47;47;41;50;233
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;S;URBANO;MAÑANA;51;46;50;52;32;242
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;49;61;58;58;60;284
F;Estrato 1;Ninguno;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Mejor;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;47;54;59;45;45;254
F;Estrato 4;Primaria;Primaria;;;No;;0 A 10 LIBROS;;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;38;36;38;36;39;186
F;Estrato 3;Primaria;Bachillerato;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Mas de 3 horas;OFICIAL;A;N;URBANO;MAÑANA;56;49;46;49;50;250
M;Estrato 1;Primaria;Primaria;Empleado;Empleado;Si;;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;NO OFICIAL;A;;URBANO;SABATINA;37;23;35;37;33;165
M;3;Bachillerato;Bachillerato;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Mas de 3 horas;OFICIAL;A;N;URBANO;MAÑANA;65;68;68;60;65;326
